,title,release_year,runtime,genre,rating,metascore,gross(M)
558,Talk to Her,2002,112,Romance,7.9,86,9.36
559,Laura,1944,88,Drama,7.9,0,4.36
559,Laura,1944,88,Film-Noir,7.9,0,4.36
559,Laura,1944,88,Mystery,7.9,0,4.36
560,The Conformist,1970,113,Drama,7.9,100,0.54
561,Amour,2012,127,Drama,7.9,95,6.74
562,Head-On,2004,121,Drama,7.9,78,0.0
562,Head-On,2004,121,Romance,7.9,78,0.0
563,The Way He Looks,2014,96,Drama,7.9,71,0.1
563,The Way He Looks,2014,96,Romance,7.9,71,0.1
564,Mildred Pierce,1945,111,Crime,7.9,88,0.0
564,Mildred Pierce,1945,111,Drama,7.9,88,0.0
564,Mildred Pierce,1945,111,Film-Noir,7.9,88,0.0
565,A Taxi Driver,2017,137,Action,7.9,69,1.53
565,A Taxi Driver,2017,137,Drama,7.9,69,1.53
565,A Taxi Driver,2017,137,History,7.9,69,1.53
566,In Cold Blood,1967,134,Biography,7.9,89,0.0
566,In Cold Blood,1967,134,Crime,7.9,89,0.0
566,In Cold Blood,1967,134,Drama,7.9,89,0.0
567,My Name Is Khan,2010,165,Adventure,7.9,50,4.02
567,My Name Is Khan,2010,165,Drama,7.9,50,4.02
567,My Name Is Khan,2010,165,Romance,7.9,50,4.02
568,3-Iron,2004,88,Crime,7.9,72,0.24
568,3-Iron,2004,88,Drama,7.9,72,0.24
568,3-Iron,2004,88,Romance,7.9,72,0.24
569,The Sacrifice,1986,149,Drama,7.9,0,0.3
570,Kal Ho Naa Ho,2003,186,Comedy,7.9,54,1.79
570,Kal Ho Naa Ho,2003,186,Drama,7.9,54,1.79
570,Kal Ho Naa Ho,2003,186,Musical,7.9,54,1.79
571,Harvey,1950,104,Comedy,7.9,0,0.0
571,Harvey,1950,104,Drama,7.9,0,0.0
571,Harvey,1950,104,Fantasy,7.9,0,0.0
572,The Thin Man,1934,91,Comedy,7.9,86,0.0
572,The Thin Man,1934,91,Crime,7.9,86,0.0
572,The Thin Man,1934,91,Mystery,7.9,86,0.0
573,Kagemusha,1980,162,Drama,7.9,84,0.0
573,Kagemusha,1980,162,History,7.9,84,0.0
573,Kagemusha,1980,162,War,7.9,84,0.0
574,I Remember,1973,123,Comedy,7.9,0,0.58
574,I Remember,1973,123,Drama,7.9,0,0.58
575,Gully Boy,2019,154,Drama,7.9,65,5.57
575,Gully Boy,2019,154,Music,7.9,65,5.57
575,Gully Boy,2019,154,Romance,7.9,65,5.57
576,The Lost Weekend,1945,101,Drama,7.9,0,9.46
